airport_1,airport_2,nsmiles
ORD,OMA,423
MDW,MSY,836
ORD,MSY,836
MDW,SAN,1728
ORD,SAN,1728
MDW,ORF,717
ORD,ORF,717
ORD,PHF,717
MDW,PNS,794
ORD,PNS,794
MDW,OKC,693
ORD,OKC,693
MDW,PBI,1143
ORD,PBI,1143
MDW,PDX,1751
ORD,PDX,1751
MDW,PHL,678
ORD,PHL,678
MDW,PWM,900
ORD,PWM,900
MDW,RDU,646
ORD,RDU,646
MDW,RIC,642
ORD,RIC,642
MDW,RNO,1680
ORD,RNO,1680
MDW,SLC,1259
ORD,SLC,1259
MDW,SAV,773
ORD,SAV,773
MDW,SRQ,1050
ORD,SRQ,1050
MDW,SYR,607
ORD,SYR,607
MDW,TYS,475
ORD,TYS,475
CHS,DAL,987
CHS,DFW,987
CHS,BWI,472
CHS,DCA,472
CHS,IAD,472
CHS,MDW,760
CHS,ORD,760
CHS,HOU,928
CHS,IAH,928
CHS,EWR,677
CHS,HPN,677
CHS,ISP,677
CHS,JFK,677
CHS,LGA,677
CHS,SWF,677
CHS,FLL,489
CHS,MIA,489
CHS,BUR,2206
CHS,LAX,2206
CHS,LGB,2206
CHS,ONT,2206
CHS,SNA,2206
CID,AZA,1252
CID,PHX,1252
CLT,DAL,936
CLT,DFW,936
CLT,PHX,1773
CLT,CAK,430
CLT,CLE,430
CLT,BWI,361
CLT,DCA,361
CLT,IAD,361
CLT,MDW,599
CLT,ORD,599
CLT,HOU,920
CLT,IAH,920
CLT,EWR,575
CLT,HPN,575
CLT,ISP,575
CLT,JFK,575
CLT,LGA,575
CLT,SWF,575
CLT,OAK,2296
CLT,SFO,2296
CLT,SJC,2296
CLT,FLL,650
CLT,MIA,650
CLT,BUR,2125
CLT,LAX,2125
CLT,LGB,2125
CLT,ONT,2125
CLT,SNA,2125
CLT,TPA,507
CMH,DAL,926
CMH,DFW,926
CMH,DEN,1154
CMH,PHX,1670
CMH,SEA,2016
CMH,BWI,337
CMH,DCA,337
CMH,IAD,337
CMH,MYR,488
LCK,MYR,488
CMH,HOU,1001
CMH,IAH,1001
CMH,MCO,802
CMH,MSP,626
CMH,EWR,519
CMH,HPN,519
CMH,ISP,519
CMH,JFK,519
CMH,LGA,519
CMH,SWF,519
CMH,RSW,930
CMH,LAS,1771
CMH,OAK,2120
CMH,SFO,2120
CMH,SJC,2120
CMH,FLL,990
CMH,MIA,990
LCK,FLL,990
CMH,BUR,1995
CMH,LAX,1995
CMH,LGB,1995
CMH,ONT,1995
CMH,SNA,1995
CMH,TPA,829
LCK,PIE,829
CMH,SAN,1964
CMH,PHL,406
CMH,SRQ,869
LCK,SRQ,869
STL,BWI,738
STL,DCA,738
STL,IAD,738
STL,TPA,869
MYR,BWI,399
MYR,DCA,399
MYR,IAD,399
MYR,EWR,601
MYR,HPN,601
MYR,ISP,601
MYR,JFK,601
MYR,LGA,601
MYR,SWF,601
JAX,BWI,663
JAX,DCA,663
JAX,IAD,663
JAX,EWR,869
JAX,HPN,869
JAX,ISP,869
JAX,JFK,869
JAX,LGA,869
JAX,SWF,869
JAX,FLL,335
JAX,MIA,335
JAX,BUR,2153
JAX,LAX,2153
JAX,LGB,2153
JAX,ONT,2153
JAX,SNA,2153
DTW,PHX,1671
DTW,BWI,409
DTW,DCA,409
DTW,IAD,409
DTW,HOU,1092
DTW,IAH,1092
DTW,EWR,540
DTW,HPN,540
DTW,ISP,540
DTW,JFK,540
DTW,LGA,540
DTW,SWF,540
DTW,OAK,2079
DTW,SFO,2079
DTW,SJC,2079
DTW,FLL,1145
DTW,MIA,1145
DTW,BUR,1979
DTW,LAX,1979
DTW,LGB,1979
DTW,ONT,1979
DTW,SNA,1979
DTW,TPA,983
DTW,ORF,529
DTW,PHF,529
DSM,AZA,1149
DSM,PHX,1149
DSM,BWI,910
DSM,DCA,910
DSM,IAD,910
DSM,BUR,1447
DSM,LAX,1447
DSM,LGB,1447
DSM,ONT,1447
DSM,SNA,1447
DSM,PIE,1127
DSM,TPA,1127
HOU,PIT,1131
IAH,PIT,1131
HOU,AZA,1020
HOU,PHX,1020
IAH,PHX,1020
HOU,SEA,1894
IAH,SEA,1894
HOU,BNA,670
IAH,BNA,670
HOU,BWI,1246
HOU,DCA,1246
HOU,IAD,1246
IAH,BWI,1246
IAH,DCA,1246
IAH,IAD,1246
HOU,STL,687
IAH,STL,687
HOU,JAX,817
IAH,JAX,817
HOU,MCO,854
IAH,MCO,854
HOU,ECP,572
IAH,ECP,572
HOU,MSP,1057
IAH,MSP,1057
HOU,EWR,1465
HOU,HPN,1465
HOU,ISP,1465
HOU,JFK,1465
HOU,LGA,1465
HOU,SWF,1465
IAH,EWR,1465
IAH,HPN,1465
IAH,ISP,1465
IAH,JFK,1465
IAH,LGA,1465
IAH,SWF,1465
HOU,LAS,1235
IAH,LAS,1235
HOU,IND,861
IAH,IND,861
HOU,OAK,1649
HOU,SFO,1649
HOU,SJC,1649
IAH,OAK,1649
IAH,SFO,1649
IAH,SJC,1649
HOU,FLL,966
HOU,MIA,966
IAH,FLL,966
IAH,MIA,966
HOU,BUR,1390
HOU,LAX,1390
HOU,LGB,1390
HOU,ONT,1390
HOU,SNA,1390
IAH,BUR,1390
IAH,LAX,1390
IAH,LGB,1390
IAH,ONT,1390
IAH,SNA,1390
HOU,LBB,474
IAH,LBB,474
HOU,SDF,803
IAH,SDF,803
HOU,MAF,441
IAH,MAF,441
HOU,SMF,1624
IAH,SMF,1624
HOU,TPA,787
IAH,TPA,787
HOU,MCI,666
IAH,MCI,666
HOU,MEM,484
IAH,MEM,484
HOU,OMA,804
IAH,OMA,804
HOU,MKE,1004
IAH,MKE,1004
HOU,MSY,305
IAH,MSY,305
HOU,SAN,1313
IAH,SAN,1313
HOU,ORF,1209
HOU,PHF,1209
IAH,ORF,1209
IAH,PHF,1209
HOU,PNS,489
IAH,PNS,489
HOU,OKC,419
IAH,OKC,419
HOU,PDX,1843
IAH,PDX,1843
HOU,PHL,1336
IAH,PHL,1336
HOU,RDU,1050
IAH,RDU,1050
HOU,RIC,1166
IAH,RIC,1166
HOU,SLC,1214
IAH,SLC,1214
HOU,TUL,453
IAH,TUL,453
HOU,SAV,853
IAH,SAV,853
MCO,PHX,1849
MCO,BWI,787
MCO,DCA,787
MCO,IAD,787
MCO,OAK,2446
MCO,SFO,2446
MCO,SJC,2446
ECP,BWI,798
ECP,DCA,798
ECP,IAD,798
VPS,BWI,819
VPS,DCA,819
VPS,IAD,819
EUG,AZA,971
EUG,PHX,971
EUG,OAK,471
EUG,SFO,471
EUG,SJC,471
EUG,BUR,776
EUG,LAX,776
EUG,LGB,776
EUG,ONT,776
EUG,SNA,776
EYW,BWI,1050
EYW,DCA,1050
EYW,IAD,1050
EYW,EWR,1248
EYW,HPN,1248
EYW,ISP,1248
EYW,JFK,1248
EYW,LGA,1248
EYW,SWF,1248
FAR,AZA,1225
FAR,PHX,1225
FCA,BUR,1027
FCA,LAX,1027
FCA,LGB,1027
